State,District,Latitude,Longitude,Geocoded_Address
Haryana,Ambala,30.3435002,76.9493554,"Ambala, Haryana, India"
Haryana,Bhiwani,28.7328101,75.8928296,"Bhiwani, Haryana, India"
Haryana,Charkhi Dadri,28.6000997,76.1123707,"Charkhi Dadri, Haryana, India"
Haryana,Faridabad,28.3568524,77.3264937,"Faridabad, Haryana, India"
Haryana,Fatehabad,29.5359209,75.5752901,"Fatehabad, Haryana, India"
Haryana,Gurugram,28.4492944,77.0306587,"District And Sessions Court Gurugram, Sohna Road, Hans Enclave, Sector 11A, Gurgaon, Gurugram, Haryana, 110058, India"
Haryana,Hisar,29.2396596,75.8174505,"Hisar, Haryana, India"
Haryana,Jhajjar,28.5964461,76.6505366,"Jhajjar, Haryana, India"
Haryana,Jind,29.4494987,76.3736217,"Jind, Haryana, India"
Haryana,Kaithal,29.8536764,76.4684323,"Kaithal, Haryana, India"
Haryana,Karnal,29.7255766,76.9106924,"Karnal, Haryana, India"
Haryana,Kurukshetra,30.0606702,76.7631053,"Kurukshetra, Haryana, India"
Haryana,Mahendragarh,28.1326971,76.1697448,"Mahendragarh, Haryana, India"
Haryana,Nuh,27.9935177,77.0419634,"Nuh, Haryana, India"
Haryana,Palwal,28.0599426,77.3223422,"Palwal, Haryana, India"
Haryana,Panchkula,30.689535,76.9947922,"Panchkula, Haryana, India"
Haryana,Panipat,29.3472909,76.8871622,"Panipat, Haryana, India"
Haryana,Rewari,28.2180521,76.5816859,"Rewari, Haryana, India"
Haryana,Rohtak,28.8900602,76.5873106,"Rohtak, Haryana, India"
Haryana,Sirsa,29.6063041,74.9036568,"Sirsa, Haryana, India"
Haryana,Sonipat,29.0414186,76.922715,"Sonipat, Haryana, India"
Haryana,Yamunanagar,30.2158611,77.3256507,"Yamunanagar, Haryana, India"
Punjab,Amritsar,31.7685759,74.8315603,"Amritsar, Punjab, India"
Punjab,Barnala,30.3716802,75.5039887,"Barnala, Punjab, India"
