State,District,Crop,Year,Area,Production,Yield,Year_Order,Years_ Available,Complete_4_year_history,Previous_Yield,Previous_yield_percentage,Previous_area,Previous_Area_Percentage,Previous_Production,Production_Change_Pct,History_avg_yield,Yield_Deviation_Pct
Haryana,Ambala,Maize,2021-22,0.0,0.01,3945.0,2021,4,True,,,,,,,,
Haryana,Ambala,Maize,2022-23,0.0,0.0,3455.0,2022,4,True,3945.0,-12.420785804816223,0.0,,0.01,-100.0,3945.0,-12.420785804816223
Haryana,Ambala,Maize,2023-24,0.0,0.01,4642.0,2023,4,True,3455.0,34.35600578871201,0.0,,0.0,,3700.0,25.45945945945946
Haryana,Ambala,Maize,2024-25,0.0,0.0,3714.0,2024,4,True,4642.0,-19.991383024558377,0.0,,0.01,-100.0,4014.0,-7.473841554559043
Haryana,Ambala,Rice,2021-22,0.94,3.86,4107.0,2021,4,True,,,,,,,,
Haryana,Ambala,Rice,2022-23,1.05,3.9,3719.0,2022,4,True,4107.0,-9.447285122960798,0.94,11.70212765957448,3.86,1.0362694300518145,4107.0,-9.447285122960798
Haryana,Ambala,Rice,2023-24,0.94,4.01,4275.0,2023,4,True,3719.0,14.9502554450121,1.05,-10.476190476190485,3.9,2.8205128205128176,3913.0,9.251213902376692
Haryana,Ambala,Rice,2024-25,0.84,3.55,4233.0,2024,4,True,4275.0,-0.9824561403508772,0.94,-10.638297872340424,4.01,-11.471321695760599,4033.6666666666665,4.9417403520370256
Haryana,Ambala,Wheat,2021-22,0.88,3.61,4107.0,2021,4,True,,,,,,,,
Haryana,Ambala,Wheat,2022-23,0.89,4.12,4639.0,2022,4,True,4107.0,12.953494034575117,0.88,1.1363636363636374,3.61,14.127423822714688,4107.0,12.953494034575117
Haryana,Ambala,Wheat,2023-24,0.95,4.21,4433.0,2023,4,True,4639.0,-4.440612200905368,0.89,6.741573033707858,4.12,2.1844660194174725,4373.0,1.372055796935742
Haryana,Ambala,Wheat,2024-25,0.89,4.13,4640.0,2024,4,True,4433.0,4.669524024362734,0.95,-6.315789473684205,4.21,-1.9002375296912133,4393.0,5.622581379467334
Haryana,Bhiwani,Maize,2021-22,0.0,0.0,4000.0,2021,3,False,,,,,,,,
Haryana,Bhiwani,Maize,2023-24,0.0,0.0,3685.0,2023,3,False,4000.0,-7.875,0.0,,0.0,,4000.0,-7.875
Haryana,Bhiwani,Maize,2024-25,0.0,0.0,3714.0,2024,3,False,3685.0,0.7869742198100407,0.0,,0.0,,3842.5,-3.3441769681197138
Haryana,Bhiwani,Rice,2021-22,0.22,0.47,2099.0,2021,4,True,,,,,,,,
Haryana,Bhiwani,Rice,2022-23,0.26,0.73,2781.0,2022,4,True,2099.0,32.491662696522155,0.22,18.181818181818183,0.47,55.319148936170215,2099.0,32.491662696522155
Haryana,Bhiwani,Rice,2023-24,0.28,0.8,2808.0,2023,4,True,2781.0,0.9708737864077669,0.26,7.692307692307699,0.73,9.58904109589042,2440.0,15.081967213114755
Haryana,Bhiwani,Rice,2024-25,0.32,1.23,3805.0,2024,4,True,2808.0,35.50569800569801,0.28,14.285714285714276,0.8,53.749999999999986,2562.6666666666665,48.47814776274715
Haryana,Bhiwani,Wheat,2021-22,0.87,3.71,4271.0,2021,4,True,,,,,,,,
Haryana,Bhiwani,Wheat,2022-23,0.91,3.71,4098.0,2022,4,True,4271.0,-4.0505736361507845,0.87,4.5977011494252915,3.71,0.0,4271.0,-4.0505736361507845
Haryana,Bhiwani,Wheat,2023-24,0.93,4.01,4311.0,2023,4,True,4098.0,5.197657393850659,0.91,2.1978021978021998,3.71,8.086253369272232,4184.5,3.023061297646075
Haryana,Bhiwani,Wheat,2024-25,1.0,4.76,4735.0,2024,4,True,4311.0,9.835305033634887,0.93,7.526881720430103,4.01,18.703241895261847,4226.666666666667,12.026813880126175
Haryana,Charkhi Dadri,Maize,2021-22,0.0,0.0,0.0,2021,1,False,,,,,,,,
Haryana,Charkhi Dadri,Rice,2021-22,0.05,0.09,1849.0,2021,4,True,,,,,,,,
Haryana,Charkhi Dadri,Rice,2022-23,0.08,0.19,2445.0,2022,4,True,1849.0,32.233639805300164,0.05,60.0,0.09,111.11111111111111,1849.0,32.233639805300164
Haryana,Charkhi Dadri,Rice,2023-24,0.09,0.23,2579.0,2023,4,True,2445.0,5.480572597137014,0.08,12.499999999999993,0.19,21.052631578947373,2147.0,20.121099208197485
Haryana,Charkhi Dadri,Rice,2024-25,0.1,0.32,3175.0,2024,4,True,2579.0,23.109732454439705,0.09,11.111111111111121,0.23,39.13043478260869,2291.0,38.58577040593627
Haryana,Charkhi Dadri,Wheat,2021-22,0.33,1.37,4124.0,2021,4,True,,,,,,,,
Haryana,Charkhi Dadri,Wheat,2022-23,0.38,1.38,3660.0,2022,4,True,4124.0,-11.251212415130942,0.33,15.151515151515147,1.37,0.7299270072992544,4124.0,-11.251212415130942
Haryana,Charkhi Dadri,Wheat,2023-24,0.28,1.19,4250.0,2023,4,True,3660.0,16.120218579234972,0.38,-26.315789473684205,1.38,-13.768115942028983,3892.0,9.198355601233299
Haryana,Charkhi Dadri,Wheat,2024-25,0.43,1.98,4591.0,2024,4,True,4250.0,8.023529411764706,0.28,53.571428571428555,1.19,66.38655462184875,4011.3333333333335,14.450722951637024
Haryana,Faridabad,Maize,2021-22,0.0,0.0,3000.0,2021,4,True,,,,,,,,
Haryana,Faridabad,Maize,2022-23,0.0,0.0,3500.0,2022,4,True,3000.0,16.666666666666664,0.0,,0.0,,3000.0,16.666666666666664
Haryana,Faridabad,Maize,2023-24,0.0,0.0,3685.0,2023,4,True,3500.0,5.285714285714286,0.0,,0.0,,3250.0,13.384615384615383
Haryana,Faridabad,Maize,2024-25,0.0,0.0,3714.0,2024,4,True,3685.0,0.7869742198100407,0.0,,0.0,,3395.0,9.396170839469809
Haryana,Faridabad,Rice,2021-22,0.15,0.33,2218.0,2021,4,True,,,,,,,,
Haryana,Faridabad,Rice,2022-23,0.16,0.43,2659.0,2022,4,True,2218.0,19.88277727682597,0.15,6.666666666666673,0.33,30.303030303030294,2218.0,19.88277727682597
Haryana,Faridabad,Rice,2023-24,0.14,0.37,2743.0,2023,4,True,2659.0,3.159082361790147,0.16,-12.499999999999993,0.43,-13.953488372093023,2438.5,12.487184744720114
Haryana,Faridabad,Rice,2024-25,0.15,0.43,2874.0,2024,4,True,2743.0,4.775792927451696,0.14,7.142857142857128,0.37,16.216216216216218,2540.0,13.149606299212598
Haryana,Faridabad,Wheat,2021-22,0.29,1.12,3916.0,2021,4,True,,,,,,,,
Haryana,Faridabad,Wheat,2022-23,0.28,1.18,4139.0,2022,4,True,3916.0,5.694586312563841,0.29,-3.4482758620689493,1.12,5.357142857142842,3916.0,5.694586312563841
Haryana,Faridabad,Wheat,2023-24,0.29,1.33,4531.0,2023,4,True,4139.0,9.470886687605702,0.28,3.5714285714285547,1.18,12.711864406779675,4027.5,12.50155183116077
Haryana,Faridabad,Wheat,2024-25,0.32,1.33,4135.0,2024,4,True,4531.0,-8.739792540278083,0.29,10.344827586206906,1.33,0.0,4195.333333333333,-1.4381058318766813
Haryana,Fatehabad,Maize,2021-22,0.0,0.0,1622.0,2021,4,True,,,,,,,,
Haryana,Fatehabad,Maize,2022-23,0.0,0.0,2000.0,2022,4,True,1622.0,23.304562268803945,0.0,,0.0,,1622.0,23.304562268803945
Haryana,Fatehabad,Maize,2023-24,0.0,0.0,3685.0,2023,4,True,2000.0,84.25,0.0,,0.0,,1811.0,103.47874102705687
Haryana,Fatehabad,Maize,2024-25,0.0,0.0,3714.0,2024,4,True,3685.0,0.7869742198100407,0.0,,0.0,,2435.6666666666665,52.48391952921857
Haryana,Fatehabad,Rice,2021-22,1.29,5.24,4057.0,2021,4,True,,,,,,,,
Haryana,Fatehabad,Rice,2022-23,1.4,5.86,4190.0,2022,4,True,4057.0,3.278284446635445,1.29,8.527131782945727,5.24,11.832061068702291,4057.0,3.278284446635445
Haryana,Fatehabad,Rice,2023-24,1.34,5.66,4212.0,2023,4,True,4190.0,0.5250596658711217,1.4,-4.285714285714274,5.86,-3.4129692832764533,4123.5,2.1462349945434704
Haryana,Fatehabad,Rice,2024-25,1.4,6.0,4272.0,2024,4,True,4212.0,1.4245014245014245,1.34,4.477611940298495,5.66,6.007067137809185,4153.0,2.865398507103299
Haryana,Fatehabad,Wheat,2021-22,1.84,8.59,4665.0,2021,4,True,,,,,,,,
Haryana,Fatehabad,Wheat,2022-23,1.82,9.37,5139.0,2022,4,True,4665.0,10.160771704180064,1.84,-1.0869565217391313,8.59,9.080325960419085,4665.0,10.160771704180064
Haryana,Fatehabad,Wheat,2023-24,1.8,8.98,4986.0,2023,4,True,5139.0,-2.9772329246935203,1.82,-1.0989010989010999,9.37,-4.162219850586967,4902.0,1.7135862913096693
Haryana,Fatehabad,Wheat,2024-25,1.83,9.74,5308.0,2024,4,True,4986.0,6.45808263136783,1.8,1.666666666666668,8.98,8.463251670378616,4930.0,7.667342799188641
Haryana,Gurugram,Maize,2021-22,0.0,0.0,2941.0,2021,3,False,,,,,,,,
Haryana,Gurugram,Maize,2022-23,0.0,0.0,3000.0,2022,3,False,2941.0,2.0061203672220334,0.0,,0.0,,2941.0,2.0061203672220334
Haryana,Gurugram,Maize,2024-25,0.0,0.0,3714.0,2024,3,False,3000.0,23.799999999999997,0.0,,0.0,,2970.5,25.029456320484766
Haryana,Gurugram,Rice,2021-22,0.05,0.13,2778.0,2021,4,True,,,,,,,,
Haryana,Gurugram,Rice,2022-23,0.05,0.13,2870.0,2022,4,True,2778.0,3.311735061195104,0.05,0.0,0.13,0.0,2778.0,3.311735061195104
Haryana,Gurugram,Rice,2023-24,0.03,0.08,2289.0,2023,4,True,2870.0,-20.243902439024392,0.05,-40.00000000000001,0.13,-38.46153846153847,2824.0,-18.944759206798867
Haryana,Gurugram,Rice,2024-25,0.04,0.11,2978.0,2024,4,True,2289.0,30.100480559196157,0.03,33.33333333333334,0.08,37.5,2645.6666666666665,12.56142119188611
Haryana,Gurugram,Wheat,2021-22,0.36,1.69,4673.0,2021,4,True,,,,,,,,
Haryana,Gurugram,Wheat,2022-23,0.34,1.51,4499.0,2022,4,True,4673.0,-3.7235180826021828,0.36,-5.555555555555546,1.69,-10.650887573964493,4673.0,-3.7235180826021828
Haryana,Gurugram,Wheat,2023-24,0.32,1.42,4403.0,2023,4,True,4499.0,-2.133807512780618,0.34,-5.8823529411764754,1.51,-5.960264900662257,4586.0,-3.9904055822067157
Haryana,Gurugram,Wheat,2024-25,0.33,1.33,4039.0,2024,4,True,4403.0,-8.267090620031796,0.32,3.1250000000000027,1.42,-6.338028169014074,4525.0,-10.740331491712707
Haryana,Hisar,Maize,2021-22,0.0,0.0,3913.0,2021,4,True,,,,,,,,
Haryana,Hisar,Maize,2022-23,0.0,0.0,3500.0,2022,4,True,3913.0,-10.554561717352415,0.0,,0.0,,3913.0,-10.554561717352415
Haryana,Hisar,Maize,2023-24,0.0,0.0,3685.0,2023,4,True,3500.0,5.285714285714286,0.0,,0.0,,3706.5,-0.5800620531498718
Haryana,Hisar,Maize,2024-25,0.0,0.0,2048.0,2024,4,True,3685.0,-44.42333785617368,0.0,,0.0,,3699.3333333333335,-44.63867363488917
