State,District,Crop,Year,Area,Production,Yield,Years_ Available,Complete_4_year_history,Previous_Yield,Previous_yield_percentage,Previous_area,Previous_Area_Percentage,Previous_Production,Production_Change_Pct,History_avg_yield,Yield_Deviation_Pct,Crop_Year_Rainfall_mm,Rainy_Days,Heavy_Rain_Days,Days_Available,Monsoon_Rainfall_mm,Rabi_Rainfall_mm,Historical_Avg_Rainfall,Rainfall_Deviation_Pct
Haryana,Ambala,Maize,2021-22,0.0,0.01,3945.0,4,True,,,,,,,,,1297.57,97,0,365,981.67,246.72,,
Haryana,Ambala,Maize,2022-23,0.0,0.0,3455.0,4,True,3945.0,-12.420785804816225,0.0,,0.01,-100.0,3945.0,-12.420785804816225,1567.66,110,1,365,1207.36,181.25,1297.57,20.815062000508654
Haryana,Ambala,Maize,2023-24,0.0,0.01,4642.0,4,True,3455.0,34.35600578871201,0.0,,0.0,,3700.0,25.45945945945946,1301.31,84,3,366,1120.44,152.26,1432.615,-9.16540731459604
Haryana,Ambala,Maize,2024-25,0.0,0.0,3714.0,4,True,4642.0,-19.991383024558377,0.0,,0.01,-100.0,4014.0,-7.473841554559043,1447.69,111,1,365,1191.42,133.39,1388.8466666666666,4.2368488002035365
Haryana,Ambala,Rice,2021-22,0.94,3.86,4107.0,4,True,,,,,,,,,1297.57,97,0,365,981.67,246.72,,
Haryana,Ambala,Rice,2022-23,1.05,3.9,3719.0,4,True,4107.0,-9.447285122960798,0.94,11.70212765957448,3.86,1.0362694300518145,4107.0,-9.447285122960798,1567.66,110,1,365,1207.36,181.25,1297.57,20.815062000508654
Haryana,Ambala,Rice,2023-24,0.94,4.01,4275.0,4,True,3719.0,14.9502554450121,1.05,-10.476190476190483,3.9,2.8205128205128176,3913.0,9.251213902376692,1301.31,84,3,366,1120.44,152.26,1432.615,-9.16540731459604
Haryana,Ambala,Rice,2024-25,0.84,3.55,4233.0,4,True,4275.0,-0.9824561403508772,0.94,-10.638297872340424,4.01,-11.4713216957606,4033.6666666666665,4.9417403520370256,1447.69,111,1,365,1191.42,133.39,1388.8466666666666,4.2368488002035365
Haryana,Ambala,Wheat,2021-22,0.88,3.61,4107.0,4,True,,,,,,,,,1297.57,97,0,365,981.67,246.72,,
Haryana,Ambala,Wheat,2022-23,0.89,4.12,4639.0,4,True,4107.0,12.953494034575115,0.88,1.1363636363636374,3.61,14.127423822714688,4107.0,12.953494034575115,1567.66,110,1,365,1207.36,181.25,1297.57,20.815062000508654
Haryana,Ambala,Wheat,2023-24,0.95,4.21,4433.0,4,True,4639.0,-4.440612200905368,0.89,6.741573033707858,4.12,2.1844660194174725,4373.0,1.372055796935742,1301.31,84,3,366,1120.44,152.26,1432.615,-9.16540731459604
Haryana,Ambala,Wheat,2024-25,0.89,4.13,4640.0,4,True,4433.0,4.669524024362734,0.95,-6.315789473684205,4.21,-1.9002375296912133,4393.0,5.622581379467334,1447.69,111,1,365,1191.42,133.39,1388.8466666666666,4.2368488002035365
Haryana,Bhiwani,Maize,2021-22,0.0,0.0,4000.0,3,False,,,,,,,,,724.11,52,0,365,610.61,89.75,,
Haryana,Bhiwani,Maize,2023-24,0.0,0.0,3685.0,3,False,4000.0,-7.875,0.0,,0.0,,4000.0,-7.875,449.71,40,0,366,351.34000000000003,89.54,708.1800000000001,-36.4977830495072
Haryana,Bhiwani,Maize,2024-25,0.0,0.0,3714.0,3,False,3685.0,0.7869742198100407,0.0,,0.0,,3842.5,-3.3441769681197138,803.1,71,0,365,671.88,49.99,622.0233333333333,29.110912238018948
