State,District,Year,Crop_Year_Rainfall_mm,Rainy_Days,Heavy_Rain_Days,Days_Available,Monsoon_Rainfall_mm,Rabi_Rainfall_mm,Historical_Avg_Rainfall,Rainfall_Deviation_Pct
Haryana,Ambala,2021-22,1297.57,97,0,365,981.67,246.72,,
Haryana,Ambala,2022-23,1567.66,110,1,365,1207.36,181.25,1297.57,20.815062000508654
Haryana,Ambala,2023-24,1301.31,84,3,366,1120.44,152.26,1432.615,-9.16540731459604
Haryana,Ambala,2024-25,1447.69,111,1,365,1191.42,133.39,1388.8466666666666,4.2368488002035365
Haryana,Bhiwani,2021-22,724.11,52,0,365,610.61,89.75,,
Haryana,Bhiwani,2022-23,692.25,63,0,365,484.66,101.48,724.11,-4.399883995525544
Haryana,Bhiwani,2023-24,449.71,40,0,366,351.34000000000003,89.54,708.1800000000001,-36.4977830495072
Haryana,Bhiwani,2024-25,803.1,71,0,365,671.88,49.99,622.0233333333333,29.110912238018948
Haryana,Charkhi Dadri,2021-22,953.05,59,0,365,782.92,139.18,,
Haryana,Charkhi Dadri,2022-23,821.2,76,1,365,583.28,139.09,953.05,-13.834531241802624
Haryana,Charkhi Dadri,2023-24,483.28,49,0,366,406.18,66.57,887.125,-45.52289699873186
Haryana,Charkhi Dadri,2024-25,805.28,72,0,365,649.88,53.05,752.5099999999999,7.012531394931642
Haryana,Faridabad,2021-22,993.13,70,1,365,726.0,225.4,,
Haryana,Faridabad,2022-23,869.97,75,2,365,554.42,227.92,993.13,-12.401196218017779
Haryana,Faridabad,2023-24,742.72,52,1,366,676.36,61.86,931.55,-20.27051688046803
Haryana,Faridabad,2024-25,916.61,68,0,365,805.27,34.379999999999995,868.6066666666667,5.526475351328948
Haryana,Fatehabad,2021-22,707.09,55,1,365,550.04,113.95,,
Haryana,Fatehabad,2022-23,764.6700000000001,62,1,365,597.2,72.37,707.09,8.143234948874973
Haryana,Fatehabad,2023-24,544.41,49,1,366,362.89,170.38,735.8800000000001,-26.01918791107247
